"","CBSA","MDIV","STCOU","NAME","LSAD","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","NPOPCHG_2010","NPOPCHG_2011","NPOPCHG_2012","NPOPCHG_2013","NPOPCHG_2014","NPOPCHG_2015","NPOPCHG_2016","NPOPCHG_2017","BIRTHS2010","BIRTHS2011","BIRTHS2012","BIRTHS2013","BIRTHS2014","BIRTHS2015","BIRTHS2016","BIRTHS2017","DEATHS2010","DEATHS2011","DEATHS2012","DEATHS2013","DEATHS2014","DEATHS2015","DEATHS2016","DEATHS2017","NATURALINC2010","NATURALINC2011","NATURALINC2012","NATURALINC2013","NATURALINC2014","NATURALINC2015","NATURALINC2016","NATURALINC2017","INTERNATIONALMIG2010","INTERNATIONALMIG2011","INTERNATIONALMIG2012","INTERNATIONALMIG2013","INTERNATIONALMIG2014","INTERNATIONALMIG2015","INTERNATIONALMIG2016","INTERNATIONALMIG2017","DOMESTICMIG2010","DOMESTICMIG2011","DOMESTICMIG2012","DOMESTICMIG2013","DOMESTICMIG2014","DOMESTICMIG2015","DOMESTICMIG2016","DOMESTICMIG2017","NETMIG2010","NETMIG2011","NETMIG2012","NETMIG2013","NETMIG2014","NETMIG2015","NETMIG2016","NETMIG2017","RESIDUAL2010","RESIDUAL2011","RESIDUAL2012","RESIDUAL2013","RESIDUAL2014","RESIDUAL2015","RESIDUAL2016","RESIDUAL2017"
"337",44420,NA,NA,"Staunton-Waynesboro, VA","Metropolitan Statistical Area",118502,118496,118318,118775,118452,119137,119454,119995,120833,121999,-178,457,-323,685,317,541,838,1166,299,1235,1276,1203,1282,1288,1439,1405,353,1171,1262,1303,1334,1395,1289,1286,-54,64,14,-100,-52,-107,150,119,11,59,65,83,91,98,97,97,-144,335,-397,705,292,555,595,948,-133,394,-332,788,383,653,692,1045,9,-1,-5,-3,-14,-5,-4,2
"338",44700,NA,NA,"Stockton-Lodi, CA","Metropolitan Statistical Area",685306,685308,687291,695071,700958,703747,713452,723846,734294,745424,1983,7780,5887,2789,9705,10394,10448,11130,2547,10549,10083,10049,9921,9985,10076,10019,1092,4757,4977,4974,5401,5721,5541,5409,1455,5792,5106,5075,4520,4264,4535,4610,264,1424,1221,1375,1618,1893,1922,1902,330,661,-372,-3684,3630,4284,4001,4646,594,2085,849,-2309,5248,6177,5923,6548,-66,-97,-68,23,-63,-47,-10,-28
"339",44940,NA,NA,"Sumter, SC","Metropolitan Statistical Area",107456,107463,107586,107291,107908,107784,107702,107276,107287,106847,123,-295,617,-124,-82,-426,11,-440,365,1515,1569,1521,1507,1496,1437,1446,192,1055,979,1046,1025,1155,1083,1055,173,460,590,475,482,341,354,391,61,102,233,139,141,185,133,114,-105,-863,-189,-735,-708,-958,-475,-943,-44,-761,44,-596,-567,-773,-342,-829,-6,6,-17,-3,3,6,-1,-2
"340",45060,NA,NA,"Syracuse, NY","Metropolitan Statistical Area",662577,662625,663154,662770,661548,662958,661725,659850,656931,654841,529,-384,-1222,1410,-1233,-1875,-2919,-2090,1889,7322,7487,7378,7135,7231,7053,6940,1263,5850,5734,5858,5913,6170,5902,5845,626,1472,1753,1520,1222,1061,1151,1095,340,1682,1809,1924,2091,2210,2237,2223,-383,-3557,-4823,-1994,-4573,-5167,-6312,-5424,-43,-1875,-3014,-70,-2482,-2957,-4075,-3201,-54,19,39,-40,27,21,5,16
"341",45220,NA,NA,"Tallahassee, FL","Metropolitan Statistical Area",367413,368770,369339,371194,375272,373212,375532,377947,379047,382627,569,1855,4078,-2060,2320,2415,1100,3580,1008,4111,4002,4014,4029,4111,4045,4003,509,2502,2517,2779,2547,2699,2740,2756,499,1609,1485,1235,1482,1412,1305,1247,155,693,743,712,831,901,928,923,-56,-433,1709,-4104,62,146,-1140,1413,99,260,2452,-3392,893,1047,-212,2336,-29,-14,141,97,-55,-44,7,-3
"342",45300,NA,NA,"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area",2783243,2783469,2788500,2829142,2847187,2872530,2916839,2973756,3036525,3091399,5031,40642,18045,25343,44309,56917,62769,54874,7169,31328,30859,31055,31776,32409,32720,33111,6686,28535,28180,29664,28978,30720,31728,32696,483,2793,2679,1391,2798,1689,992,415,2130,9968,10601,10368,12439,13534,13823,13725,2531,27206,4791,13471,28708,41243,47923,40596,4661,37174,15392,23839,41147,54777,61746,54321,-113,675,-26,113,364,451,31,138
"343",45460,NA,NA,"Terre Haute, IN","Metropolitan Statistical Area",172425,172420,172231,172396,172348,171767,170922,170334,170220,169965,-189,165,-48,-581,-845,-588,-114,-255,486,2058,1977,1971,2057,2002,1973,1960,561,1907,1824,1889,1846,1981,1882,1848,-75,151,153,82,211,21,91,112,39,147,152,132,140,154,154,150,-142,-116,-338,-792,-1196,-755,-361,-514,-103,31,-186,-660,-1056,-601,-207,-364,-11,-17,-15,-3,0,-8,2,-3
"344",45500,NA,NA,"Texarkana, TX-AR","Metropolitan Statistical Area",149198,149195,149324,149602,149684,149653,149519,149739,150185,150355,129,278,82,-31,-134,220,446,170,508,1972,1957,1942,1973,1945,2019,1974,408,1589,1513,1580,1486,1621,1684,1603,100,383,444,362,487,324,335,371,-1,12,8,-7,24,41,42,43,38,-101,-357,-377,-630,-135,74,-239,37,-89,-349,-384,-606,-94,116,-196,-8,-16,-13,-9,-15,-10,-5,-5
"345",45540,NA,NA,"The Villages, FL","Metropolitan Statistical Area",93420,93420,94279,97976,101698,106942,112334,117210,122121,125165,859,3697,3722,5244,5392,4876,4911,3044,101,443,437,456,468,522,481,494,281,1208,1301,1371,1437,1597,1847,1857,-180,-765,-864,-915,-969,-1075,-1366,-1363,-5,4,2,1,22,29,31,32,982,4350,4474,6071,6143,5822,6235,4356,977,4354,4476,6072,6165,5851,6266,4388,62,108,110,87,196,100,11,19
"346",45780,NA,NA,"Toledo, OH","Metropolitan Statistical Area",610001,610002,610003,608736,607400,606981,606000,604781,604591,603668,1,-1267,-1336,-419,-981,-1219,-190,-923,1901,7396,7495,7493,7750,7540,7389,7345,1369,5626,5652,5895,5824,6066,5913,5968,532,1770,1843,1598,1926,1474,1476,1377,127,436,513,556,697,757,772,769,-692,-3526,-3754,-2564,-3618,-3444,-2434,-3070,-565,-3090,-3241,-2008,-2921,-2687,-1662,-2301,34,53,62,-9,14,-6,-4,1
"347",45820,NA,NA,"Topeka, KS","Metropolitan Statistical Area",233870,233866,234274,234648,234383,233812,233646,233345,232948,233149,408,374,-265,-571,-166,-301,-397,201,816,3119,2985,3061,3008,2849,2851,2806,478,2224,2304,2344,2341,2544,2377,2317,338,895,681,717,667,305,474,489,23,78,148,128,200,228,220,217,73,-585,-1089,-1423,-1027,-818,-1085,-497,96,-507,-941,-1295,-827,-590,-865,-280,-26,-14,-5,7,-6,-16,-6,-8
"348",45940,NA,NA,"Trenton, NJ","Metropolitan Statistical Area",366513,367517,367930,368201,370419,372337,372974,373104,373660,374733,413,271,2218,1918,637,130,556,1073,1053,4385,4180,4220,4161,4189,4078,4039,720,2951,2811,2814,2838,3017,2859,2941,333,1434,1369,1406,1323,1172,1219,1098,574,2383,2414,2660,2932,3177,3226,3218,-492,-3611,-1537,-2148,-3673,-4260,-3899,-3261,82,-1228,877,512,-741,-1083,-673,-43,-2,65,-28,0,55,41,10,18
"349",46060,NA,NA,"Tucson, AZ","Metropolitan Statistical Area",980263,980260,981540,987297,991528,994759,1000916,1005323,1012519,1022769,1280,5757,4231,3231,6157,4407,7196,10250,2899,12078,11820,12041,12033,11742,11482,11490,2002,8633,8703,8872,8778,9172,9708,9881,897,3445,3117,3169,3255,2570,1774,1609,391,1563,1950,1962,2311,2703,2687,2570,114,856,-680,-1772,787,-747,2749,6066,505,2419,1270,190,3098,1956,5436,8636,-122,-107,-156,-128,-196,-119,-14,5
"350",46140,NA,NA,"Tulsa, OK","Metropolitan Statistical Area",937478,937531,939776,945261,952199,961738,969234,980208,987465,990706,2245,5485,6938,9539,7496,10974,7257,3241,3404,13413,13341,13069,13246,13535,13456,13412,2090,8973,8633,9214,9093,9392,9581,9688,1314,4440,4708,3855,4153,4143,3875,3724,181,1031,1124,1324,1628,1870,1944,1949,800,121,1196,4376,1825,4992,1450,-2416,981,1152,2320,5700,3453,6862,3394,-467,-50,-107,-90,-16,-110,-31,-12,-16
"351",46220,NA,NA,"Tuscaloosa, AL","Metropolitan Statistical Area",230162,230170,230487,231411,233270,235302,238133,240267,241444,242799,317,924,1859,2032,2831,2134,1177,1355,669,2813,2876,2802,2885,2931,3024,2950,381,2193,1979,2095,2030,2208,2204,2245,288,620,897,707,855,723,820,705,58,230,198,286,309,353,361,360,-13,58,763,1030,1621,1062,-10,302,45,288,961,1316,1930,1415,351,662,-16,16,1,9,46,-4,6,-12
"352",46340,NA,NA,"Tyler, TX","Metropolitan Statistical Area",209714,209721,210398,212653,214707,216426,219517,222410,225305,227727,677,2255,2054,1719,3091,2893,2895,2422,725,2984,2975,3008,3184,3115,3147,3159,443,1939,1954,1967,2035,2043,2128,2064,282,1045,1021,1041,1149,1072,1019,1095,29,246,178,299,347,405,409,410,365,973,866,398,1581,1424,1470,920,394,1219,1044,697,1928,1829,1879,1330,1,-9,-11,-19,14,-8,-3,-3
